country,year,PIB,population,IDH,unemployment,gdp_pc,log_gdp_pc,gdp_growth,unemployment.1,poverty
Guatemala,2023,104368413483.146,18124791.0,0.662,2.344,5758.323695050939,8.658401686169128,9.124676641755336,,
México,2001,796064590549.136,100099057.0,0.7159,2.627,7952.768131962881,8.981275339743101,7.277465976870978,,
México,2002,810666116401.915,101548570.0,0.7198,3.003,7983.038228917601,8.985074348425213,1.8342137090542776,,
México,2003,765549967888.647,102978472.0,0.7237,3.455,7434.077754510156,8.913829810112448,-5.565318150154464,,
México,2004,819459227375.022,104394075.0,0.7276,3.937,7849.671807284292,8.968227001913213,7.041899516377015,,
México,2005,917571853529.104,105811451.0,0.7315,3.558,8671.76326245733,9.06782742423592,11.972850250080992,,
México,2006,1020265057882.01,107253625.0,0.7353999999999999,3.566,9512.639389876193,9.16037665540042,11.19184333716583,,
México,2007,1102355554880.44,108774308.0,0.7393,3.628,10134.337557729532,9.223684694907744,8.045997102835557,,
México,2008,1161553459984.65,110374235.0,0.7432,3.874,10523.773596117337,9.26139212882704,5.370128071847979,,
México,2009,943437415024.633,111999662.0,0.7471,5.356,8423.573769576493,9.038789455379945,-18.777960074510847,,
México,2010,1105424238572.81,113623858.0,0.751,5.303,9728.803950423951,9.182846243721302,17.16985366156456,,
México,2011,1229013703577.75,115243459.0,0.7554,5.175,10664.498568875391,9.274675613285876,11.180274567210846,,
México,2012,1255110424665.92,116818153.0,0.7598,4.892,10744.138581491869,9.28211563662062,2.1233873155523275,,
México,2013,1327436290439.27,118343517.0,0.7642,4.921,11216.806159641766,9.325168482551067,5.762510162609913,,
México,2014,1364507717764.6,119784217.0,0.7686000000000001,4.819,11391.381535387089,9.34061234279839,2.7927085911642946,,
México,2015,1213294467779.98,121072270.0,0.773,4.311,10021.241592149714,9.21246227835466,-11.081890414833618,,
México,2016,1112233497452.7,122251299.0,0.771,3.853,9097.927846580182,9.11580195740826,-8.32946766106961,,
México,2017,1190721475906.0,123400004.0,0.769,3.419,9649.282312065405,9.174638819760618,7.056789660899221,,
México,2018,1256300182775.8,124573671.0,0.767,3.275,10084.796993546091,9.218784320641443,5.5074766178969226,,
México,2019,1304106203902.45,125762928.0,0.765,3.477,10369.559810999708,9.24662985201015,3.805302409573996,,
México,2020,1121064767401.51,126798998.0,0.763,4.44,8841.27465582583,9.087186337072549,-14.03577683728524,,
México,2021,1316569466735.28,127648107.0,0.761,4.019,10314.053985424787,9.241262708786152,17.4391975395789,,
México,2022,1466464899303.68,128613066.0,0.783,3.256,11402.145558863202,9.341556823591713,11.385303727276774,,
México,2023,1793798859343.27,129739713.0,0.789,2.765,13826.13555915042,9.53431596111145,22.32129525875579,,
Nicaragua,2001,5351752034.2221,5087777.0,0.5988,7.203,1051.8841596677885,6.95833827285039,4.739423790594177,,
Nicaragua,2002,5223727302.54906,5149867.0,0.6046,7.513,1014.3421767104004,6.921995579604002,-2.3922022331075654,,
Nicaragua,2003,5322228350.58068,5210928.0,0.6103999999999999,7.6,1021.3590267569768,6.928889398622334,1.8856468250850968,,
Nicaragua,2004,5792932838.40051,5272850.0,0.6162,6.41,1098.6341045924898,7.001822964111811,8.844124242968142,,
Nicaragua,2005,6321324279.14826,5342053.0,0.622,5.37,1183.313658465811,7.076073967014517,9.121311354502849,,
Nicaragua,2006,6763672380.61154,5418799.0,0.6278,5.31,1248.1866148959464,7.129447068917326,6.997712535052569,,
Nicaragua,2007,7423375014.75729,5497205.0,0.6336,4.89,1350.390792185718,7.208149305235595,9.753616039074076,,
Nicaragua,2008,8496967596.77008,5576555.0,0.6394,6.2,1523.6947536194084,7.328893423284639,14.462324480152787,,
Nicaragua,2009,8298702489.0801,5656558.0,0.6452,8.16,1467.0940329932266,7.291038874925294,-2.3333631137459565,,
Nicaragua,2010,8758602232.98358,5737403.0,0.651,7.83,1526.5795749372285,7.330784939828532,5.541827105003971,,
